1438373905686-1194,61,54
Sat Aug 01 2015 19:42:46 GMT+0900 (Korea Standard Time),-593,239,486
Sat Aug 01 2015 19:42:47 GMT+0900 (Korea Standard Time),-594,233,484
Sat Aug 01 2015 19:42:47 GMT+0900 (Korea Standard Time),-595,236,486
Sat Aug 01 2015 19:42:48 GMT+0900 (Korea Standard Time),-593,241,487
Sat Aug 01 2015 19:42:48 GMT+0900 (Korea Standard Time),-590,237,489
Sat Aug 01 2015 19:42:48 GMT+0900 (Korea Standard Time),-585,238,488
Sat Aug 01 2015 19:42:49 GMT+0900 (Korea Standard Time),-589,240,489
Sat Aug 01 2015 19:42:49 GMT+0900 (Korea Standard Time),-590,237,488
Sat Aug 01 2015 19:42:49 GMT+0900 (Korea Standard Time),-594,238,484
Sat Aug 01 2015 19:42:50 GMT+0900 (Korea Standard Time),-592,237,488
Sat Aug 01 2015 19:42:50 GMT+0900 (Korea Standard Time),-597,236,486
Sat Aug 01 2015 19:42:50 GMT+0900 (Korea Standard Time),-597,235,486
Sat Aug 01 2015 19:42:51 GMT+0900 (Korea Standard Time),-594,229,487
Sat Aug 01 2015 19:42:51 GMT+0900 (Korea Standard Time),-592,240,481
Sat Aug 01 2015 19:42:51 GMT+0900 (Korea Standard Time),-592,248,482
Sat Aug 01 2015 19:42:52 GMT+0900 (Korea Standard Time),-597,241,483
Sat Aug 01 2015 19:42:52 GMT+0900 (Korea Standard Time),-599,235,483
Sat Aug 01 2015 19:42:52 GMT+0900 (Korea Standard Time),-598,236,486
Sat Aug 01 2015 19:42:53 GMT+0900 (Korea Standard Time),-602,235,487
Sat Aug 01 2015 19:42:53 GMT+0900 (Korea Standard Time),-599,241,484
Sat Aug 01 2015 19:42:53 GMT+0900 (Korea Standard Time),-606,238,483
Sat Aug 01 2015 19:42:54 GMT+0900 (Korea Standard Time),-609,249,476
Sat Aug 01 2015 19:42:54 GMT+0900 (Korea Standard Time),-608,265,475
Sat Aug 01 2015 19:42:54 GMT+0900 (Korea Standard Time),-615,268,469
Sat Aug 01 2015 19:42:55 GMT+0900 (Korea Standard Time),-618,270,465
Sat Aug 01 2015 19:42:55 GMT+0900 (Korea Standard Time),-632,278,461
Sat Aug 01 2015 19:42:55 GMT+0900 (Korea Standard Time),-620,282,463
Sat Aug 01 2015 19:42:56 GMT+0900 (Korea Standard Time),-611,286,464
Sat Aug 01 2015 19:42:56 GMT+0900 (Korea Standard Time),-609,285,465
Sat Aug 01 2015 19:42:56 GMT+0900 (Korea Standard Time),-596,268,470
